date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:49:49	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:50%20GMT	https://media.giphy.com/media/xUA7aZaY17RqLOKA2A/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/xUA7aZaY17RqLOKA2A/giphy.32.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:50	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:50%20GMT	https://media.giphy.com/media/Iia0HT8DwUY92/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/Iia0HT8DwUY92/giphy.33.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:50	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:51%20GMT	https://media.giphy.com/media/Qutb3UVjT1qvXmbWxt/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/Qutb3UVjT1qvXmbWxt/giphy.34.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:50	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:51%20GMT	https://media.giphy.com/media/IcjHeMP8ssjIzSWh7W/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/IcjHeMP8ssjIzSWh7W/giphy.35.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:50	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:51%20GMT	https://media.giphy.com/media/QAgaHXyAmPMflDhbZ7/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/QAgaHXyAmPMflDhbZ7/giphy.36.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:51	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:51%20GMT	https://media.giphy.com/media/QyghSznfyczzf6Vxt6/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/QyghSznfyczzf6Vxt6/giphy.37.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:51	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:52%20GMT	https://media.giphy.com/media/mCPP65TuCeSdVBcSf1/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/mCPP65TuCeSdVBcSf1/giphy.38.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:51	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:52%20GMT	https://media.giphy.com/media/fA1JnK6Nzf6kLligpL/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/fA1JnK6Nzf6kLligpL/giphy.39.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:52	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:52%20GMT	https://media.giphy.com/media/Yle8BEVjUyn4384qts/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/Yle8BEVjUyn4384qts/giphy.3a.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
20:49:52	0/0	---M--	302	error ('Found')	text/html	date:Sat,%2017%20Apr%202021%2010:49:53%20GMT	https://media.giphy.com/media/ls4gJ5o0xRlhsWEFpv/giphy.gif	C:/Users/ahmoh/OneDrive/Documents/web/shorby/media.giphy.com/media/ls4gJ5o0xRlhsWEFpv/giphy.3b.delayed	(from https://shor.by/css/shorby-page.css?dc02a640)
